Time,Ampl
-2.5037e-07,-0.00026
-2.4997e-07,-4e-05
-2.4957e-07,-0.00022
-2.4917e-07,-0.00026
-2.4877e-07,-0.00036
-2.4837e-07,2e-05
-2.4797e-07,-0.00012
-2.4757e-07,2e-05
-2.4717e-07,-0.00044
-2.4677e-07,-0.00042
-2.4637e-07,2e-05
-2.4597e-07,0
-2.4557e-07,-0.00028
-2.4517e-07,-2e-05
-2.4477e-07,-0.0003
-2.4437e-07,-0.00018
-2.4397e-07,-0.0001
-2.4357e-07,-0.00022
-2.4317e-07,-6e-05
-2.4277e-07,-2e-05
-2.4237e-07,-0.0003
-2.4197e-07,-4e-05
-2.4157e-07,-0.00038
-2.4117e-07,-6e-05
-2.4077e-07,-2e-05
-2.4037e-07,-0.00016
-2.3997e-07,-8e-05
-2.3957e-07,-0.00032
-2.3917e-07,0.00016
-2.3877e-07,-0.0002
-2.3837e-07,-0.00018
-2.3797e-07,8e-05
-2.3757e-07,-0.00032
-2.3717e-07,-0.00012
-2.3677e-07,2e-05
-2.3637e-07,-0.00032
-2.3597e-07,-8e-05
-2.3557e-07,-0.0001
-2.3517e-07,-4e-05
-2.3477e-07,-0.00012
-2.3437e-07,-0.00016
-2.3397e-07,-0.00012
-2.3357e-07,-0.0004
-2.3317e-07,-0.00042
-2.3277e-07,-0.00014
-2.3237e-07,-0.0003
-2.3197e-07,-0.00034
-2.3157e-07,-0.0001
-2.3117e-07,4e-05
-2.3077e-07,-0.00022
-2.3037e-07,-0.00026
-2.2997e-07,-4e-05
-2.2957e-07,-0.00016
-2.2917e-07,0.00026
-2.2877e-07,-0.00034
-2.2837e-07,0.00018
-2.2797e-07,-4e-05
-2.2757e-07,4e-05
-2.2717e-07,-0.00012
-2.2677e-07,-0.00038
-2.2637e-07,-4e-05
-2.2597e-07,-6e-05
-2.2557e-07,-0.00046
-2.2517e-07,0.00014
-2.2477e-07,2e-05
-2.2437e-07,-6e-05
-2.2397e-07,-0.0002
-2.2357e-07,-0.00042
-2.2317e-07,-2e-05
-2.2277e-07,4e-05
-2.2237e-07,-0.00038
-2.2197e-07,-0.00016
-2.2157e-07,2e-05
-2.2117e-07,-0.00022
-2.2077e-07,8e-05
-2.2037e-07,-2e-05
-2.1997e-07,-0.0002
-2.1957e-07,0.0001
-2.1917e-07,-0.00026
-2.1877e-07,-8e-05
-2.1837e-07,-0.0001
-2.1797e-07,-0.00034
-2.1757e-07,-0.00014
-2.1717e-07,-0.0005
-2.1677e-07,0.00018
-2.1637e-07,-6e-05
-2.1597e-07,6e-05
-2.1557e-07,0.00018
-2.1517e-07,-0.0001
-2.1477e-07,-0.0003
-2.1437e-07,-0.0001
-2.1397e-07,-0.00016
-2.1357e-07,-0.00016
-2.1317e-07,-6e-05
-2.1277e-07,-0.00018
-2.1237e-07,-0.00014
-2.1197e-07,-0.00024
-2.1157e-07,-6e-05
-2.1117e-07,-0.00016
-2.1077e-07,4e-05
-2.1037e-07,-0.00022
-2.0997e-07,-0.00012
-2.0957e-07,-0.00012
-2.0917e-07,-0.00024
-2.0877e-07,6e-05
-2.0837e-07,-0.00036
-2.0797e-07,-0.00012
-2.0757e-07,-2e-05
-2.0717e-07,-0.00018
-2.0677e-07,-0.0001
-2.0637e-07,-0.00034
-2.0597e-07,0
-2.0557e-07,6e-05
-2.0517e-07,0.00012
-2.0477e-07,-2e-05
-2.0437e-07,-2e-05
-2.0397e-07,-0.0004
-2.0357e-07,-0.0002
-2.0317e-07,-0.0001
-2.0277e-07,-0.00016
-2.0237e-07,-0.00018
-2.0197e-07,-0.00014
-2.0157e-07,-0.00024
-2.0117e-07,-0.00028
-2.0077e-07,0.0002
-2.0037e-07,-0.00016
-1.9997e-07,-0.00044
-1.9957e-07,6e-05
-1.9917e-07,0.00024
-1.9877e-07,-0.00022
-1.9837e-07,0
-1.9797e-07,-0.00014
-1.9757e-07,-0.00024
-1.9717e-07,8e-05
-1.9677e-07,-0.00026
-1.9637e-07,0.00012
-1.9597e-07,-0.00032
-1.9557e-07,0.00016
-1.9517e-07,-2e-05
-1.9477e-07,-0.00016
-1.9437e-07,0
-1.9397e-07,-4e-05
-1.9357e-07,-0.00026
-1.9317e-07,0
-1.9277e-07,-2e-05
-1.9237e-07,-0.00014
-1.9197e-07,-0.00016
-1.9157e-07,0.00024
-1.9117e-07,0.0001
-1.9077e-07,8e-05
-1.9037e-07,-0.0001
-1.8997e-07,-4e-05
-1.8957e-07,-0.00018
-1.8917e-07,6e-05
-1.8877e-07,-0.00018
-1.8837e-07,0
-1.8797e-07,-0.00022
-1.8757e-07,0
-1.8717e-07,-0.00028
-1.8677e-07,0.0001
-1.8637e-07,-0.00016
-1.8597e-07,-0.00024
-1.8557e-07,-0.00012
-1.8517e-07,-0.00026
-1.8477e-07,2e-05
-1.8437e-07,-0.00038
-1.8397e-07,0.00018
-1.8357e-07,-0.0003
-1.8317e-07,-6e-05
-1.8277e-07,0.00014
-1.8237e-07,-0.00036
-1.8197e-07,-0.00012
-1.8157e-07,-6e-05
-1.8117e-07,-0.00026
-1.8077e-07,-6e-05
-1.8037e-07,-4e-05
-1.7997e-07,4e-05
-1.7957e-07,0
-1.7917e-07,-0.00038
-1.7877e-07,4e-05
-1.7837e-07,-0.00018
-1.7797e-07,2e-05
-1.7757e-07,-4e-05
-1.7717e-07,-0.00026
-1.7677e-07,0
-1.7637e-07,-0.00038
-1.7597e-07,-0.00022
-1.7557e-07,0
-1.7517e-07,-0.00032
-1.7477e-07,-0.00022
-1.7437e-07,-0.00028
-1.7397e-07,-0.00018
-1.7357e-07,-0.00036
-1.7317e-07,0.00016
-1.7277e-07,-0.00026
-1.7237e-07,-0.00018
-1.7197e-07,0.00016
-1.7157e-07,-0.00024
-1.7117e-07,-0.00012
-1.7077e-07,6e-05
-1.7037e-07,-0.00014
-1.6997e-07,-4e-05
-1.6957e-07,-0.00022
-1.6917e-07,-0.00024
-1.6877e-07,2e-05
-1.6837e-07,-0.00016
-1.6797e-07,-0.00026
-1.6757e-07,-0.00016
-1.6717e-07,2e-05
-1.6677e-07,-2e-05
-1.6637e-07,-0.00024
-1.6597e-07,-0.00016
-1.6557e-07,-0.00048
-1.6517e-07,6e-05
-1.6477e-07,-0.00022
-1.6437e-07,-0.00028
-1.6397e-07,0.00018
-1.6357e-07,-0.00038
-1.6317e-07,-0.00016
-1.6277e-07,0.00016
-1.6237e-07,-0.00024
-1.6197e-07,0.00018
-1.6157e-07,-0.0003
-1.6117e-07,-0.00028
-1.6077e-07,0.00032
-1.6037e-07,-0.0001
-1.5997e-07,-0.0002
-1.5957e-07,-6e-05
-1.5917e-07,-2e-05
-1.5877e-07,-0.00038
-1.5837e-07,4e-05
-1.5797e-07,-0.0001
-1.5757e-07,-4e-05
-1.5717e-07,-0.0002
-1.5677e-07,-0.00042
-1.5637e-07,0.00012
-1.5597e-07,-0.0002
-1.5557e-07,-0.0001
-1.5517e-07,-2e-05
-1.5477e-07,-0.00046
-1.5437e-07,-0.00024
-1.5397e-07,8e-05
-1.5357e-07,-0.00044
-1.5317e-07,-0.00026
-1.5277e-07,-0.0001
-1.5237e-07,0.0001
-1.5197e-07,-0.00024
-1.5157e-07,0.00018
-1.5117e-07,2e-05
-1.5077e-07,2e-05
-1.5037e-07,0.00012
-1.4997e-07,-0.00036
-1.4957e-07,0.0001
-1.4917e-07,-0.00026
-1.4877e-07,-0.00012
-1.4837e-07,-4e-05
-1.4797e-07,-2e-05
-1.4757e-07,0.00014
-1.4717e-07,-0.0004
-1.4677e-07,-0.00028
-1.4637e-07,-0.00018
-1.4597e-07,-0.0003
-1.4557e-07,-0.00024
-1.4517e-07,-0.00016
-1.4477e-07,8e-05
-1.4437e-07,-0.00014
-1.4397e-07,-0.00022
-1.4357e-07,-0.00014
-1.4317e-07,-8e-05
-1.4277e-07,-2e-05
-1.4237e-07,-0.00042
-1.4197e-07,-0.00012
-1.4157e-07,0.0002
-1.4117e-07,-0.00018
-1.4077e-07,-0.00012
-1.4037e-07,6e-05
-1.3997e-07,-0.00018
-1.3957e-07,-6e-05
-1.3917e-07,-0.00012
-1.3877e-07,-2e-05
-1.3837e-07,0.00022
-1.3797e-07,-0.00032
-1.3757e-07,-2e-05
-1.3717e-07,8e-05
-1.3677e-07,-0.00014
-1.3637e-07,8e-05
-1.3597e-07,-8e-05
-1.3557e-07,-4e-05
-1.3517e-07,-8e-05
-1.3477e-07,0.0001
-1.3437e-07,-0.00018
-1.3397e-07,-2e-05
-1.3357e-07,-0.0004
-1.3317e-07,-0.00018
-1.3277e-07,0.00024
-1.3237e-07,-0.00034
-1.3197e-07,-0.00018
-1.3157e-07,8e-05
-1.3117e-07,-0.00024
-1.3077e-07,6e-05
-1.3037e-07,-4e-05
-1.2997e-07,-0.00012
-1.2957e-07,-0.00016
-1.2917e-07,0
-1.2877e-07,-8e-05
-1.2837e-07,0.00014
-1.2797e-07,-0.0001
-1.2757e-07,-0.00024
-1.2717e-07,-6e-05
-1.2677e-07,8e-05
-1.2637e-07,-0.0004
-1.2597e-07,0
-1.2557e-07,-0.00018
-1.2517e-07,-0.00034
-1.2477e-07,0
-1.2437e-07,-0.00016
-1.2397e-07,-6e-05
-1.2357e-07,-0.00046
-1.2317e-07,-0.00028
-1.2277e-07,-6e-05
-1.2237e-07,-0.00016
-1.2197e-07,0.00014
-1.2157e-07,-0.00018
-1.2117e-07,4e-05
-1.2077e-07,-6e-05
-1.2037e-07,0
