,Shot number,HRM3,HRM4,HRM5,HRM6
171440743519,,,,,
171440746159,,,,,
171440748799,,,,,
171440751439,,,,,
171440754079,,,,,
171440756719,,,,,
1714383306135000,,HRM3.DigiCam_OD0_1714383312791697_1714383306135000.csv,HRM4.DigiCam_OD0_1714383312793361_1714383306135000.csv,HRM5.DigiCam_OD0_1714383312763789_1714383306135000.csv,HRM6.DigiCam_OD0_1714383312766057_1714383306135000.csv
1714383490935000,,HRM3.DigiCam_OD0_1714383497591900_1714383490935000.csv,HRM4.DigiCam_OD0_1714383497592767_1714383490935000.csv,HRM5.DigiCam_OD0_1714383497563581_1714383490935000.csv,HRM6.DigiCam_OD0_1714383497565285_1714383490935000.csv
1714383992535000,,HRM3.DigiCam_OD0_1714383999191731_1714383992535000.csv,HRM4.DigiCam_OD0_1714383999192887_1714383992535000.csv,HRM5.DigiCam_OD0_1714383999163885_1714383992535000.csv,HRM6.DigiCam_OD0_1714383999165408_1714383992535000.csv
1714384098135000,,HRM3.DigiCam_OD0_1714384104791679_1714384098135000.csv,HRM4.DigiCam_OD0_1714384104793144_1714384098135000.csv,HRM5.DigiCam_OD0_1714384104764196_1714384098135000.csv,HRM6.DigiCam_OD0_1714384104766211_1714384098135000.csv
1714384256535000,,HRM3.DigiCam_OD0_1714384263191380_1714384256535000.csv,HRM4.DigiCam_OD0_1714384263192147_1714384256535000.csv,HRM5.DigiCam_OD0_1714384263162999_1714384256535000.csv,HRM6.DigiCam_OD0_1714384263165060_1714384256535000.csv
1714384362135000,,HRM3.DigiCam_OD0_1714384368791131_1714384362135000.csv,HRM4.DigiCam_OD0_1714384368792508_1714384362135000.csv,HRM5.DigiCam_OD0_1714384368763529_1714384362135000.csv,HRM6.DigiCam_OD0_1714384368765775_1714384362135000.csv
1714385338935000,,HRM3.DigiCam_OD0_1714385345591787_1714385338935000.csv,HRM4.DigiCam_OD0_1714385345593270_1714385338935000.csv,HRM5.DigiCam_OD0_1714385345562779_1714385338935000.csv,HRM6.DigiCam_OD0_1714385345564960_1714385338935000.csv
1714385365335000,,HRM3.DigiCam_OD0_1714385371991539_1714385365335000.csv,HRM4.DigiCam_OD0_1714385371993098_1714385365335000.csv,HRM5.DigiCam_OD0_1714385371963130_1714385365335000.csv,HRM6.DigiCam_OD0_1714385371965010_1714385365335000.csv
1714385391735000,,HRM3.DigiCam_OD0_1714385398392087_1714385391735000.csv,HRM4.DigiCam_OD0_1714385398393098_1714385391735000.csv,HRM5.DigiCam_OD0_1714385398363109_1714385391735000.csv,HRM6.DigiCam_OD0_1714385398365427_1714385391735000.csv
1714385418135000,,HRM3.DigiCam_OD0_1714385424791974_1714385418135000.csv,HRM4.DigiCam_OD0_1714385424792879_1714385418135000.csv,HRM5.DigiCam_OD0_1714385424763528_1714385418135000.csv,HRM6.DigiCam_OD0_1714385424765540_1714385418135000.csv
1714385444535000,,HRM3.DigiCam_OD0_1714385451191884_1714385444535000.csv,HRM4.DigiCam_OD0_1714385451193197_1714385444535000.csv,HRM5.DigiCam_OD0_1714385451162960_1714385444535000.csv,HRM6.DigiCam_OD0_1714385451165149_1714385444535000.csv
1714385470935000,,HRM3.DigiCam_OD0_1714385477591334_1714385470935000.csv,HRM4.DigiCam_OD0_1714385477592996_1714385470935000.csv,HRM5.DigiCam_OD0_1714385477563335_1714385470935000.csv,HRM6.DigiCam_OD0_1714385477565754_1714385470935000.csv
