Shot number,Date,Global UNIX Timestamp (UTC timezone) of HiRadMat cycle,Acquisition UNIX Timestamp of HiRadMat cycle (UTC timezone),Primary proton beam intensity Actual,Scope1 Trace
1,29/04/2024,1714392678135000.00,1.71439E+15,1.57E+11,21
2,,1714393707735000.00,1.71439E+15,1.57E+11,22
3,,1714394156535000.00,1.71439E+15,1.59E+11,23
4,,1714394658135000.00,1.71439E+15,1.56E+11,24
5,,1714395159735000.00,1.7144E+15,1.56E+11,
6,,1714395687735000.00,1.7144E+15,1.61E+11,25
7,,1714408458135000.00,1.71441E+15,1.13E+11,
8,,1714409118135000.00,1.71441E+15,1.15E+11,26
9,,1714410385335000.00,1.71441E+15,2.97E+11,27
10,,1714410754935000.00,1.71441E+15,3.02E+11,28
11,,1714411230135000.00,1.71441E+15,2.94E+11,29
12,,1714411494135000.00,1.71441E+15,2.97E+11,30
13,,1714411599735000.00,1.71441E+15,3.01E+11,31
14,,1714413922935000.00,1.71441E+15,2.97E+11,32
15,,1714414767735000.00,1.71441E+15,3.02E+11,33
16,,1714415163735000.00,1.71442E+15,1.14E+11,
17,,1714416325335000.00,1.71442E+15,2.92E+11,34
18,,1714416985335000.00,1.71442E+15,2.86E+11,35
19,,1714417354935000.00,1.71442E+15,2.84E+11,36
20,,1714417856535000.00,1.71442E+15,2.85E+11,37
21,30/04/2024,1714491435735000.00,1.71449E+15,1.11E+11,44
22,,1714492782135000.00,1.71449E+15,2.88E+11,45
23,,1714493026935000.00,1.71449E+15,2.86E+11,46
24,,1714493190135000.00,1.71449E+15,2.80E+11,47
25,,1714493312535000.00,,,
26,,1714493353335000.00,,,
27,,1714493394135000.00,,,
28,,1714493842935000.00,,,48
29,,1714494087735000.00,,,49
30,01/05/2024 LOG CRASHED ,1714515219735000.00,,,51
31,01/05/2024,1714515382935000.00,1.71452E+15,3.02E+11,52
32,,1714515668535000.00,1.71452E+15,3.08E+11,53
33,,1714515994935000.00,1.71452E+15,3.06E+11,54
34,,1714516117335000.00,1.71452E+15,3.10E+11,55
35,,1714516158135000.00,1.71452E+15,3.03E+11,56
36,,1714516280535000.00,1.71452E+15,3.05E+11,57
