,DOWNSTREAM
0,0.0396875
1,0.0403125
2,0.0396875
3,0.0403125
4,0.0396875
5,0.0403125
6,0.0396875
7,0.0403125
8,0.0396875
9,0.0403125
10,0.0396875
11,0.0403125
12,0.0396875
13,0.0403125
14,0.0396875
15,0.0403125
16,0.0396875
17,0.0403125
18,0.0396875
19,0.04
20,0.0396875
21,0.0403125
22,0.0396875
23,0.0403125
24,0.04
25,0.04
26,0.04
27,0.04
28,0.04
29,0.04
30,0.04
31,0.04
32,0.04
33,0.04
34,0.04
35,0.04
36,0.04
37,0.04
38,0.04
39,0.04
40,0.04
41,0.04
42,0.04
43,0.04
44,0.04
45,0.04
46,0.04
47,0.04
48,0.04
49,0.04
50,0.04
51,0.04
52,0.04
53,0.04
54,0.04
55,0.04
56,0.04
57,0.04
58,0.04
59,0.04
60,0.04
61,0.04
62,0.04
63,0.04
64,0.04
65,0.04
66,0.04
67,0.04
68,0.04
69,0.04
70,0.04
71,0.04
72,0.04
73,0.04
74,0.04
75,0.04
76,0.04
77,0.04
78,0.04
79,0.04
80,0.04
81,0.04
82,0.04
83,0.04
84,0.04
85,0.04
86,0.04
87,0.04
88,0.04
89,0.04
90,0.04
91,0.04
92,0.04
93,0.04
94,0.04
95,0.04
96,0.04
97,0.04
98,0.04
99,0.04
100,0.04
101,0.04
102,0.04
103,0.04
104,0.04
105,0.04
106,0.04
107,0.04
108,0.04
109,0.04
110,0.04
111,0.0396875
112,0.0403125
113,0.0396875
114,0.0403125
115,0.0396875
116,0.0403125
117,0.0396875
118,0.0403125
119,0.0396875
120,0.0403125
121,0.0396875
122,0.0403125
123,0.0396875
124,0.0403125
125,0.0396875
126,0.040625
127,0.039375
128,0.040625
129,0.039375
130,0.0409375
131,0.0390625
132,0.04125
133,0.0384375
134,0.041875
135,0.0378125
136,0.043125
137,0.035
138,0.049375
139,0.0071875
140,-0.0521875
141,-0.0328125
142,-0.0453125
143,-0.0353125
144,-0.0440625
145,-0.0359375
146,-0.0440625
147,-0.035625
148,-0.0453125
149,-0.033125
150,-0.05125
151,-0.0053125
152,0.0503125
153,0.0346875
154,0.0434375
155,0.0375
156,0.041875
157,0.0384375
158,0.04125
159,0.0390625
160,0.0409375
161,0.0390625
162,0.040625
163,0.039375
164,0.040625
165,0.039375
166,0.040625
167,0.0396875
168,0.0403125
169,0.0396875
170,0.0403125
171,0.0396875
172,0.0403125
173,0.0396875
174,0.0403125
175,0.0396875
176,0.0403125
177,0.0396875
178,0.0403125
179,0.0396875
180,0.0403125
181,0.0396875
182,0.0403125
183,0.0396875
184,0.0403125
185,0.0396875
186,0.0403125
187,0.0396875
188,0.0403125
189,0.0396875
190,0.0403125
191,0.0396875
192,0.0403125
193,0.0396875
194,0.0403125
195,0.0396875
196,0.0403125
197,0.0396875
198,0.0403125
199,0.0396875
200,0.0403125
201,0.0396875
202,0.0403125
203,0.0396875
204,0.0403125
205,0.0396875
206,0.0403125
207,0.0396875
208,0.0403125
209,0.0396875
210,0.0403125
211,0.0396875
212,0.0403125
213,0.0396875
214,0.0403125
215,0.0396875
216,0.0403125
217,0.0396875
218,0.0403125
219,0.0396875
220,0.0403125
221,0.0396875
222,0.0403125
223,0.0396875
224,0.0403125
225,0.0396875
226,0.0403125
227,0.0396875
228,0.0403125
229,0.0396875
230,0.0403125
231,0.0396875
232,0.0403125
233,0.0396875
234,0.0403125
235,0.0396875
236,0.0403125
237,0.0396875
238,0.0403125
239,0.0396875
240,0.0403125
241,0.0396875
242,0.0403125
243,0.039375
244,0.040625
245,0.039375
