TIMESTAMPS,TIMES,FILES
1748613988,2025-05-30 16:06:28,shot_30-05-2025-613988_1748613978135000.asc
1748614010,2025-05-30 16:06:50,shot_30-05-2025-613995_1748613999735000.asc
1748849084,2025-06-02 09:24:44,shot_02-06-2025-849051_1748849073735000.asc
1748940008,2025-06-03 10:40:08,1748939996535000_shot_03-06-2025-933763_.asc
1748940009,2025-06-03 10:40:09,1748939996535000_shot_03-06-2025-933747_.asc
1748940416,2025-06-03 10:46:56,1748940404535000_background_03-06-2025-940411_.asc
1748940560,2025-06-03 10:49:20,1748940548535000_background_03-06-2025-940555_.asc
1748941040,2025-06-03 10:57:20,1748941028535000_shot_03-06-2025-941035_.asc
1748941496,2025-06-03 11:04:56,1748941484535000_shot_03-06-2025-941491_.asc
1748941520,2025-06-03 11:05:20,1748941508535000_shot_03-06-2025-941515_.asc
1748941544,2025-06-03 11:05:44,1748941532535000_shot_03-06-2025-941539_.asc
1748941568,2025-06-03 11:06:08,1748941556535000_shot_03-06-2025-941563_.asc
1748941736,2025-06-03 11:08:56,1748941724535000_shot_03-06-2025-941731_.asc
1748941760,2025-06-03 11:09:20,1748941748535000_shot_03-06-2025-941755_.asc
1748941784,2025-06-03 11:09:44,1748941772535000_shot_03-06-2025-941779_.asc
1748941808,2025-06-03 11:10:08,1748941796535000_shot_03-06-2025-941803_.asc
1748942144,2025-06-03 11:15:44,1748942132535000_shot_03-06-2025-942139_.asc
1748942168,2025-06-03 11:16:08,1748942156535000_shot_03-06-2025-942163_.asc
1748942192,2025-06-03 11:16:32,1748942180535000_shot_03-06-2025-942187_.asc
1748942216,2025-06-03 11:16:56,1748942204535000_shot_03-06-2025-942211_.asc
1748943704,2025-06-03 11:41:44,1748943692535000_shot_03-06-2025-943699_.asc
1748944064,2025-06-03 11:47:44,1748944052535000_shot_03-06-2025-944059_.asc
1748944136,2025-06-03 11:48:56,1748944124535000_shot_03-06-2025-944131_.asc
1748945240,2025-06-03 12:07:20,1748945228535000_shot_03-06-2025-945235_.asc
1748945480,2025-06-03 12:11:20,1748945468535000_shot_03-06-2025-945475_.asc
