TIMESTAMPS,TIMES,FILES
1749126015,2025-06-05 14:20:15,2025-06-05T141931_0200.tdms
1749126063,2025-06-05 14:21:03,2025-06-05T142019_0200.tdms
1749126111,2025-06-05 14:21:51,2025-06-05T142107_0200.tdms
1749127311,2025-06-05 14:41:51,2025-06-05T144107_0200.tdms
1749128919,2025-06-05 15:08:39,2025-06-05T150755_0200.tdms
1749132327,2025-06-05 16:05:27,2025-06-05T160443_0200.tdms
1749132591,2025-06-05 16:09:51,2025-06-05T160907_0200.tdms
1749132879,2025-06-05 16:14:39,2025-06-05T161355_0200.tdms
1749133983,2025-06-05 16:33:03,2025-06-05T163219_0200.tdms
1749134487,2025-06-05 16:41:27,2025-06-05T164043_0200.tdms
1749134727,2025-06-05 16:45:27,2025-06-05T164443_0200.tdms
1749134991,2025-06-05 16:49:51,2025-06-05T164907_0200.tdms
1749135255,2025-06-05 16:54:15,2025-06-05T165331_0200.tdms
1749138212,2025-06-05 17:43:32,2025-06-05T174243_0200.tdms
1749138855,2025-06-05 17:54:15,2025-06-05T175331_0200.tdms
1749139119,2025-06-05 17:58:39,2025-06-05T175755_0200.tdms
1749140572,2025-06-05 18:22:52,2025-06-05T182208_0200.tdms
1749140860,2025-06-05 18:27:40,2025-06-05T182656_0200.tdms
1749141172,2025-06-05 18:32:52,2025-06-05T183208_0200.tdms
1749141364,2025-06-05 18:36:04,2025-06-05T183520_0200.tdms
1749141604,2025-06-05 18:40:04,2025-06-05T183920_0200.tdms
1749141844,2025-06-05 18:44:04,2025-06-05T184320_0200.tdms
1749142204,2025-06-05 18:50:04,2025-06-05T184920_0200.tdms
1749142540,2025-06-05 18:55:40,2025-06-05T185456_0200.tdms
1749142780,2025-06-05 18:59:40,2025-06-05T185856_0200.tdms
1749143044,2025-06-05 19:04:04,2025-06-05T190320_0200.tdms
1749143092,2025-06-05 19:04:52,2025-06-05T190408_0200.tdms
