TIMESTAMPS,TIMES,FILES
1749023434,2025-06-04 09:50:34,FB3streak_4_6_001.dac
1749023583,2025-06-04 09:53:03,FB3streak_4_6_002.dac
1749037136,2025-06-04 13:38:56,FB3streak_4_6_003.dac
1749037562,2025-06-04 13:46:02,FB3streak_4_6_004.dac
1749038033,2025-06-04 13:53:53,FB3streak_4_6_005.dac
1749038457,2025-06-04 14:00:57,FB3streak_4_6_006.dac
1749038605,2025-06-04 14:03:25,FB3streak_4_6_007.dac
1749038749,2025-06-04 14:05:49,FB3streak_4_6_008.dac
1749038909,2025-06-04 14:08:29,FB3streak_4_6_009.dac
1749039033,2025-06-04 14:10:33,FB3streak_4_6_010.dac
1749039366,2025-06-04 14:16:06,FB3streak_4_6_011.dac
1749039509,2025-06-04 14:18:29,FB3streak_4_6_012.dac
1749039605,2025-06-04 14:20:05,FB3streak_4_6_013.dac
1749039747,2025-06-04 14:22:27,FB3streak_4_6_014.dac
1749039847,2025-06-04 14:24:07,FB3streak_4_6_015.dac
1749039987,2025-06-04 14:26:27,FB3streak_4_6_016.dac
1749040060,2025-06-04 14:27:40,FB3streak_4_6_017.dac
1749040136,2025-06-04 14:28:56,FB3streak_4_6_018.dac
1749040205,2025-06-04 14:30:05,FB3streak_4_6_019.dac
1749040280,2025-06-04 14:31:20,FB3streak_4_6_020.dac
1749040493,2025-06-04 14:34:53,FB3streak_4_6_021.dac
1749040593,2025-06-04 14:36:33,FB3streak_4_6_022.dac
1749040857,2025-06-04 14:40:57,FB3streak_4_6_023.dac
1749040976,2025-06-04 14:42:56,FB3streak_4_6_024.dac
1749041069,2025-06-04 14:44:29,FB3streak_4_6_025.dac
1749041163,2025-06-04 14:46:03,FB3streak_4_6_026.dac
1749041221,2025-06-04 14:47:01,FB3streak_4_6_027.dac
1749041411,2025-06-04 14:50:11,FB3streak_4_6_028.dac
1749041521,2025-06-04 14:52:01,FB3streak_4_6_029.dac
1749042463,2025-06-04 15:07:43,FB3streak_4_6_030.dac
1749042576,2025-06-04 15:09:36,FB3streak_4_6_031.dac
1749042727,2025-06-04 15:12:07,FB3streak_4_6_032.dac
1749042865,2025-06-04 15:14:25,FB3streak_4_6_033.dac
1749044572,2025-06-04 15:42:52,FB3streak_4_6_034.dac
1749044704,2025-06-04 15:45:04,FB3streak_4_6_035.dac
1749044818,2025-06-04 15:46:58,FB3streak_4_6_036.dac
1749045050,2025-06-04 15:50:50,FB3streak_4_6_037.dac
1749045219,2025-06-04 15:53:39,FB3streak_4_6_038.dac
1749045506,2025-06-04 15:58:26,FB3streak_4_6_039.dac
1749045809,2025-06-04 16:03:29,FB3streak_4_6_040.dac
1749046551,2025-06-04 16:15:51,FB3streak_4_6_041.dac
1749046883,2025-06-04 16:21:23,FB3streak_4_6_042.dac
1749047007,2025-06-04 16:23:27,FB3streak_4_6_043.dac
1749047123,2025-06-04 16:25:23,FB3streak_4_6_044.dac
1749047245,2025-06-04 16:27:25,FB3streak_4_6_045.dac
1749047532,2025-06-04 16:32:12,FB3streak_4_6_046.dac
1749047654,2025-06-04 16:34:14,FB3streak_4_6_047.dac
1749047941,2025-06-04 16:39:01,FB3streak_4_6_048.dac
1749048038,2025-06-04 16:40:38,FB3streak_4_6_049.dac
1749048129,2025-06-04 16:42:09,FB3streak_4_6_050.dac
1749059777,2025-06-04 19:56:17,FB3streak_4_6_052.dac
1749108395,2025-06-05 09:26:35,background_5-6_9am_v1.dac
1749108463,2025-06-05 09:27:43,background_5-6_9am_v2.dac
1749108523,2025-06-05 09:28:43,background_5-6_9am_v3.dac
1749108592,2025-06-05 09:29:52,background_5-6_9am_v4.dac
1749108647,2025-06-05 09:30:47,background_5-6_9am_v5.dac
1749109790,2025-06-05 09:49:50,FB3streak_4_6_054.dac
1749110133,2025-06-05 09:55:33,FB3streak_4_6_055.dac
1749111277,2025-06-05 10:14:37,FB3streak_4_6_056.dac
1749111466,2025-06-05 10:17:46,FB3streak_4_6_057.dac
1749111561,2025-06-05 10:19:21,FB3streak_4_6_058.dac
1749111749,2025-06-05 10:22:29,FB3streak_4_6_059.dac
1749111890,2025-06-05 10:24:50,FB3streak_4_6_060.dac
1749111979,2025-06-05 10:26:19,FB3streak_4_6_061.dac
1749112077,2025-06-05 10:27:57,FB3streak_4_6_062.dac
