TIMESTAMPS,TIMES,FILES
1748372884,2025-05-27 21:08:04,Tek000_000.csv
1748810192,2025-06-01 22:36:32,pascal_save_test_000_ALL.csv
1748814393,2025-06-01 23:46:33,pascal_save_test_ALL.csv
1748881484,2025-06-02 18:24:44,scope2__ALL_20250602182443685.csv
1748881485,2025-06-02 18:24:45,scope2__ALL_20250602182444694.csv
1748881486,2025-06-02 18:24:46,scope2__ALL_20250602182445714.csv
1748881487,2025-06-02 18:24:47,scope2__ALL_20250602182446757.csv
1748881488,2025-06-02 18:24:48,scope2__ALL_20250602182447394.csv
1748881489,2025-06-02 18:24:49,scope2__ALL_20250602182448808.csv
1748881490,2025-06-02 18:24:50,scope2__ALL_20250602182449657.csv
1748881491,2025-06-02 18:24:51,scope2__ALL_20250602182450833.csv
1748881492,2025-06-02 18:24:52,scope2__ALL_20250602182451821.csv
1748881493,2025-06-02 18:24:53,scope2__ALL_20250602182452335.csv
1748881503,2025-06-02 18:25:03,scope2__ALL_20250602182502772.csv
1748881504,2025-06-02 18:25:04,scope2__ALL_20250602182503871.csv
1748881505,2025-06-02 18:25:05,scope2__ALL_20250602182504723.csv
1748881506,2025-06-02 18:25:06,scope2__ALL_20250602182505747.csv
1748881507,2025-06-02 18:25:07,scope2__ALL_20250602182506765.csv
1748881508,2025-06-02 18:25:08,scope2__ALL_20250602182507868.csv
1748881509,2025-06-02 18:25:09,scope2__ALL_20250602182508796.csv
1748881510,2025-06-02 18:25:10,scope2__ALL_20250602182509769.csv
1748881511,2025-06-02 18:25:11,scope2__ALL_20250602182510806.csv
1748881512,2025-06-02 18:25:12,scope2__ALL_20250602182511807.csv
1748881513,2025-06-02 18:25:13,scope2__ALL_20250602182512742.csv
1748881514,2025-06-02 18:25:14,scope2__ALL_20250602182513765.csv
1748881515,2025-06-02 18:25:15,scope2__ALL_20250602182514725.csv
1748881516,2025-06-02 18:25:16,scope2__ALL_20250602182515748.csv
1748881517,2025-06-02 18:25:17,scope2__ALL_20250602182516825.csv
1748881518,2025-06-02 18:25:18,scope2__ALL_20250602182517673.csv
1748881519,2025-06-02 18:25:19,scope2__ALL_20250602182518822.csv
1748881520,2025-06-02 18:25:20,scope2__ALL_20250602182519773.csv
1748881521,2025-06-02 18:25:21,scope2__ALL_20250602182520625.csv
1748881522,2025-06-02 18:25:22,scope2__ALL_20250602182521731.csv
1748881523,2025-06-02 18:25:23,scope2__ALL_20250602182522785.csv
1748881524,2025-06-02 18:25:24,scope2__ALL_20250602182523639.csv
